symbol,group,module,variant,signal_date,signal_pos,reward_risk,trend_stage,rv_pct,mom_20,mom_121,ivol_60,fwd_20,fwd_60,vol_up,adx14,mkt_rv_pct_stock,year,regime,mkt_rv_pct_sector,regime_sector,signal_ts,rank_date,mom_rank_pct,in_top20,in_top30
002371.SZ,cn_stock,C,v2,2016-10-18,31,0.0979457079970651,1,,-0.0395003778988821,,,-0.033753002567713,-0.2444711339352274,False,36.60637511135048,,2016,na,,na,2016-10-18,2016-09-30,0.96875,True,True
601318.SS,cn_stock,C,v1,2016-10-18,31,1.8749999999999971,0,,-0.0846660395108184,,,0.055792101013067,0.0756129790045514,False,22.297070186092306,,2016,na,,na,2016-10-18,2016-09-30,0.3854166666666667,False,False
600030.SS,cn_stock,C,v3,2016-10-19,32,0.090277777777777,2,,0.0045179439093001,,,0.0695858791581804,-0.0274100475220638,True,30.759994355627633,,2016,na,,na,2016-10-19,2016-09-30,0.5753968253968254,False,False
002555.SZ,cn_stock,C,v2,2016-10-19,25,1.767792207792209,1,,-0.0595564074479737,,,0.0385791235987771,-0.212549133789489,True,60.788556731331234,,2016,na,,na,2016-10-19,2016-09-30,0.6746031746031746,False,False
000938.SZ,cn_stock,C,v1,2016-10-24,35,2.177852348993304,2,,0.0387683694891531,,,-0.0315728015808856,-0.1713374651935686,True,32.80030760514421,,2016,na,,na,2016-10-24,2016-09-30,0.2594246031746032,False,False
600196.SS,cn_stock,C,v2,2016-10-26,37,1.1016949152542412,1,,-0.0025345972524966,,,0.0177872643187477,0.0442140570208873,True,25.131799510599382,,2016,na,,na,2016-10-26,2016-09-30,0.2222222222222222,False,False
300347.SZ,cn_stock,C,v1,2016-10-27,38,2.7952380952381146,0,,-0.0437404136034274,,,-0.0889380530973449,-0.2800884955752212,True,25.56388095731964,,2016,na,,na,2016-10-27,2016-09-30,0.40228174603174605,False,False
002281.SZ,cn_stock,C,v1,2016-10-28,39,5.326633165829148,0,,-0.0970947721128584,,,0.0991017585290767,-0.0647745962130477,True,36.54872877380962,,2016,na,,na,2016-10-28,2016-09-30,0.9375,True,True
600660.SS,cn_stock,C,v1,2016-10-31,40,1.1403508771929842,2,,0.3435448577680524,,,0.1644951140065147,0.1465798045602606,False,30.840761581386648,,2016,na,,na,2016-10-31,2016-10-31,0.8709677419354839,True,True
300136.SZ,cn_stock,C,v1,2016-10-31,40,2.449438202247189,2,,0.0968121756574069,,,0.0624229652896504,0.0246511073118365,False,40.196729461771945,,2016,na,,na,2016-10-31,2016-10-31,0.8503024193548387,True,True
603799.SS,cn_stock,C,v1,2016-10-31,40,0.7034234234234241,2,,0.1608229178188251,,,0.1200571700809911,0.2363982848975705,False,31.80869241984374,,2016,na,,na,2016-10-31,2016-10-31,0.9490927419354839,True,True
002185.SZ,cn_stock,C,v1,2016-11-01,41,5.923076923076898,0,,-0.0194588584136397,,,0.0219240219240217,-0.0992250992250992,False,27.93549506265989,,2016,na,,na,2016-11-01,2016-10-31,0.6330645161290323,False,False
002179.SZ,cn_stock,C,v1,2016-11-01,41,3.506976744186018,0,,-0.0207413492144984,,,-0.0313515780643809,0.0337632379154868,True,27.54388490860626,,2016,na,,na,2016-11-01,2016-10-31,0.5488911290322581,False,False
002050.SZ,cn_stock,C,v2,2016-11-01,41,0.5671321160042972,2,,0.1282626999719336,,,-0.0427860696517412,-0.0723880597014924,True,39.036161050313865,,2016,na,,na,2016-11-01,2016-10-31,0.8024193548387096,True,True
300383.SZ,cn_stock,C,v1,2016-11-01,41,4.188679245283008,0,,-0.0239684466019417,,,-0.0304631644389182,-0.2751010258004353,True,28.408982750430734,,2016,na,,na,2016-11-01,2016-10-31,0.2540322580645161,False,False
600584.SS,cn_stock,C,v1,2016-11-02,42,0.8750000000000049,2,,0.0138445154419595,,,-0.0835084033613445,-0.1460084033613444,False,30.26027265184324,,2016,na,,na,2016-11-02,2016-10-31,0.780241935483871,False,True
002241.SZ,cn_stock,C,v1,2016-11-07,45,4.725000000000018,0,,-0.0075987841945288,,,-0.0886020564427915,-0.077663530956027,False,17.661534133952184,,2016,na,,na,2016-11-07,2016-10-31,0.6849798387096774,False,False
002304.SZ,cn_stock,C,v1,2016-11-08,46,2.623076923076912,0,,-0.0013489087328351,,,0.08050355242186,0.0632141988815948,False,32.66848935903666,,2016,na,,na,2016-11-08,2016-10-31,0.7066532258064516,False,True
600893.SS,cn_stock,C,v2,2016-11-08,26,2.5900621118012443,1,,-0.0358676005422504,,,-0.0366160876442673,-0.0246060108969475,True,38.860341186613624,,2016,na,,na,2016-11-08,2016-10-31,0.10181451612903226,False,False
000625.SZ,cn_stock,C,v1,2016-11-10,48,0.8181818181818147,0,,-0.0356350731923702,,,0.071603802514566,0.0142594296228151,False,19.733522404004617,,2016,na,,na,2016-11-10,2016-10-31,0.530241935483871,False,False
002230.SZ,cn_stock,C,v1,2016-11-10,48,1.2626641651031985,0,,0.0235211038079199,,,-0.0329052117609593,-0.0127375013268229,False,21.740517787656778,,2016,na,,na,2016-11-10,2016-10-31,0.19405241935483872,False,False
600703.SS,cn_stock,C,v1,2016-11-10,47,0.5200000000000031,0,,-0.0115730437104959,,,0.0333243267585339,0.2080518778708457,False,13.79429235503873,,2016,na,,na,2016-11-10,2016-10-31,0.18850806451612903,False,False
300347.SZ,cn_stock,C,v1,2016-11-14,50,1.404174573055039,0,,-0.0780587319482472,,,-0.1363768706690734,-0.1919291911721887,True,35.16059636886761,,2016,na,,na,2016-11-14,2016-10-31,0.3407258064516129,False,False
600276.SS,cn_stock,C,v1,2016-11-15,51,2.3333333333333366,0,,-0.0350125944584382,,,0.0362829548420777,0.0621900287131298,True,22.993493428131135,,2016,na,,na,2016-11-15,2016-10-31,0.6582661290322581,False,False
002326.SZ,cn_stock,C,v1,2016-11-15,46,0.0760869565217394,2,,0.0575490859851048,,,-0.0742637644046093,-0.1440460947503201,True,25.940290444031486,,2016,na,,na,2016-11-15,2016-10-31,0.6139112903225806,False,False
300014.SZ,cn_stock,C,v1,2016-11-15,51,2.1358024691358,0,,-0.0680873877496314,,,-0.1964619588666762,-0.1577736228965914,False,23.72562286367599,,2016,na,,na,2016-11-15,2016-10-31,0.9354838709677419,True,True
300383.SZ,cn_stock,C,v2,2016-11-16,52,1.2121212121212106,1,,-0.0331343283582089,,,-0.2114850262426675,-0.210558814448904,True,35.48293388518262,,2016,na,,na,2016-11-16,2016-10-31,0.2540322580645161,False,False
002185.SZ,cn_stock,C,v3,2016-11-16,52,1.6407766990291233,2,,0.0022209883398112,,,-0.0509695290858724,-0.1113573407202215,True,16.620129196894652,,2016,na,,na,2016-11-16,2016-10-31,0.6330645161290323,False,False
