,A1,U0,U1,U2,A1xU0,A1xU1,A1xU2
2018-12,1.732082,2506.85009765625,5.122662,8722717.081923073,2.1227625171493054,1.6878980548251659,2.1165367304446954
2019-01,1.700866,2704.10009765625,5.122662,9403535.755255897,2.18714819711635,1.6726882016890492,2.1800634950064586
2019-02,2.100832,2784.489990234375,5.158203,9623662.268341558,2.47681762194399,1.875160686730421,2.4619056313100645
2019-03,2.100832,2834.39990234375,5.052003,9795928.935760884,2.4990151788136004,1.8558572524791157,2.4839400848674074
2019-04,2.100832,2945.830078125,5.230358,10180536.005188689,2.5481376933227473,1.8886166768367332,2.5327022248818962
2019-05,2.134112,2752.06005859375,4.968596,9511728.666131957,2.4845152964094326,1.8563163013444919,2.4695703606112565
2019-06,2.154088,2941.760009765625,5.161005,10166487.951749884,2.5817722656813933,1.9009471179380601,2.5661273235785105
2019-07,2.178662,2980.3798828125,5.22876,10302371.621520955,2.613445742605242,1.924268253855268,2.597913837515826
2019-08,2.313295,2926.4599609375,4.976764,10116264.19603479,2.670555487807035,1.937355170370313,2.6547193828939393
2019-09,2.399576,2976.739990234375,4.985253,10289808.342250424,2.743300161766783,1.9751370903580039,2.7269978932505525
2019-10,2.48447,3037.56005859375,4.949967,10499731.983580925,2.819852667080779,2.0030859459739703,2.803053691093587
2019-11,2.474932,3140.97998046875,5.118498,10856691.243439589,2.862443707026809,2.033340401342282,2.8453208530565512
2019-12,2.672972,3230.780029296875,5.264835,11166640.800389582,3.017886106290676,2.1437591142141903,2.999775586061087
2020-01,2.791775,3225.52001953125,5.256264,11148485.60206081,3.0824959387056996,2.189654918592459,3.06400106623851
2020-02,3.191201,2954.219970703125,5.044172,10212079.31910122,3.1733709004410464,2.3021178785898373,3.154509181568722
2020-03,3.226966,2584.590087890625,5.012185,8936282.480129829,2.992628541156493,2.307718933182008,2.9751393826589103
2020-04,3.634405,2912.429931640625,5.012185,10067838.81741139,3.3713527792990554,2.4534060421284214,3.3513244199132624
2020-05,3.675309,3044.31005859375,5.012185,10524370.446921406,3.466654991667917,2.46721217005682,3.44616724649221
2020-06,4.051839,3100.2900390625,4.992783,10668808.34689322,3.676104956857043,2.5888180508348717,3.64634246412344
2020-07,4.039348,3271.1201171875,5.02217,11258437.2806114,3.7717177333931855,2.592446406171621,3.7414825003418803
2020-08,4.039348,3500.31005859375,5.124427,12049498.329423994,3.9038498067119334,2.618838960799988,3.872927966398324
2020-09,4.039348,3363.0,4.856576,11575565.493204296,3.8272797548125643,2.5503963198482054,3.7967626487473987
2020-10,4.039348,3269.9599609375,4.729245,11254432.940742554,3.7743374030595347,2.516962835660725,3.744097226863714
2020-11,4.132047,3621.6298828125,5.023573,12458935.982021287,4.020602796070579,2.624166232333448,3.9874144347857765
2020-12,4.412248,3756.070068359375,5.202729,12922963.301583096,4.231550008495688,2.7599336799426504,4.196865752036355
2021-01,4.654126,3714.239990234375,5.144788,12778584.6029786,4.323973437483065,2.8202147980323877,4.288456923166476
2021-02,4.334687,3811.14990234375,5.256596,13113074.224308413,4.231993428003096,2.7540760051070086,4.1974132783831335
2021-03,4.103217,3972.889892578125,5.454658,13671328.245076943,4.208800326285734,2.7324279813260994,4.174690265780531
2021-04,4.59839,4181.169921875,5.727281,14349541.304610703,4.573081537464905,2.9655847842317686,4.530139338640948
2021-05,4.922176,4204.10986328125,5.757308,14428719.710072927,4.746628596298456,3.0777664914916985,4.7021277563251065
2021-06,5.207016,4297.5,5.879549,14751060.64287388,4.936690071485586,3.1994937473867964,4.890704112147282
2021-07,5.397539,4395.259765625,6.007509,15088483.57798388,5.083156051361016,3.2928441679975657,5.036114910455364
2021-08,5.297601,4522.68017578125,6.174293,15528281.776281184,5.1097789311302755,3.3080688193181182,5.0628880648528645
2021-09,5.260695,4307.5400390625,5.89269,14785714.36189038,4.970446198749726,3.2211071394658344,4.924198169049101
2021-10,5.382975,4605.3798828125,6.255038,15813724.132866433,5.200050775399642,3.357577684088224,5.1526103205487175
2021-11,5.467157,4567.0,6.20291,15681253.96351836,5.219043591632713,3.369840903937427,5.171318553518749
2021-12,5.467157,4766.18017578125,6.355711,16368734.739460891,5.332852439891023,3.411346830991225,5.284676263944523
2022-01,5.270727,4515.5498046875,6.02268,15503670.928173125,5.096835697691653,3.260688458602268,5.050095722582452
2022-02,5.260642,4373.93994140625,5.938687,15014897.091580927,5.01203992192788,3.2348319893606443,4.965658809710252
2022-03,5.118576,4530.41015625,5.930633,15554962.207452776,5.034012302044629,3.1889594172831646,4.987912831893541
2022-04,4.463513,4131.93017578125,5.912947,14179587.750151942,4.490504346371219,2.980146785657758,4.448225930622825
2022-05,4.628933,4132.14990234375,5.912947,14180346.147908324,4.573833900053069,3.0353696427754033,4.530771614520759
2022-06,5.409407,3785.3798828125,5.912947,12983451.32048714,4.767507761992884,3.291263072921777,4.721522906988887
2022-07,5.198824,4130.2900390625,5.912947,14173926.73268884,4.891909573683935,3.2272002235479835,4.846083095510673
2022-08,4.987886,3955.0,5.912947,13617413.133910589,4.688860338756466,3.1617297286096315,4.652633837122945
2022-09,4.44174,3585.6201171875,5.912947,12342479.182885762,4.2131985377249705,2.988633747229821,4.180112923863657
