,equity
1991-01-03,1.375534
1991-01-10,1.375534
1991-01-17,1.375534
1991-01-24,1.375534
1991-01-31,1.390595
1991-02-07,1.432486
1991-02-14,1.459142
1991-02-22,1.464328
1991-03-01,1.48044
1991-03-08,1.49604
1991-03-15,1.492941
1991-03-22,1.468524
1991-04-01,1.483789
1991-04-08,1.513201
1991-04-15,1.523312
1991-04-22,1.522129
1991-04-29,1.494831
1991-05-06,1.519981
1991-05-13,1.506704
1991-05-20,1.488788
1991-05-28,1.52742
1991-06-04,1.550614
1991-06-11,1.52386
1991-06-18,1.514023
1991-06-25,1.48227
1991-07-02,1.509544
1991-07-10,1.502625
1991-07-17,1.52438
1991-07-24,1.514223
1991-07-31,1.550894
1991-08-07,1.561892
1991-08-14,1.559253
1991-08-21,1.562012
1991-08-28,1.584167
1991-09-05,1.556549
1991-09-12,1.54992
1991-09-19,1.551271
1991-09-26,1.546989
1991-10-03,1.538903
1991-10-10,1.523213
1991-10-17,1.568723
1991-10-24,1.541305
1991-10-31,1.570844
1991-11-07,1.575928
1991-11-14,1.589657
1991-11-21,1.517877
1991-11-29,1.517877
1991-12-06,1.517877
1991-12-13,1.517877
1991-12-20,1.52049
1991-12-30,1.60186
1992-01-07,1.610581
1992-01-14,1.622311
1992-01-21,1.592214
1992-01-28,1.601166
1992-02-04,1.596883
1992-02-11,1.596535
1992-02-19,1.575313
1992-02-26,1.602671
1992-03-04,1.579442
1992-03-11,1.558991
1992-03-18,1.578747
1992-03-25,1.572458
1992-04-01,1.559763
1992-04-08,1.522219
1992-04-15,1.578678
1992-04-23,1.56093
1992-04-30,1.573634
1992-05-07,1.577047
1992-05-14,1.56677
1992-05-21,1.564722
1992-05-29,1.575151
1992-06-05,1.568059
1992-06-12,1.547455
1992-06-19,1.515879
1992-06-26,1.515091
1992-07-06,1.541419
1992-07-13,1.545255
1992-07-20,1.541084
1992-07-27,1.532852
1992-08-03,1.583321
1992-08-10,1.562203
1992-08-17,1.567119
1992-08-24,1.538626
1992-08-31,1.542982
1992-09-08,1.539398
1992-09-15,1.544942
1992-09-22,1.535262
1992-09-29,1.522086
1992-10-06,1.513347
1992-10-13,1.513347
1992-10-20,1.513457
1992-10-27,1.522985
1992-11-03,1.52819
1992-11-10,1.523459
1992-11-17,1.525824
1992-11-24,1.556103
1992-12-02,1.564473
1992-12-09,1.585435
1992-12-16,1.570405
1992-12-23,1.597735
1992-12-31,1.585653
1993-01-08,1.561416
1993-01-15,1.590894
1993-01-22,1.587109
1993-01-29,1.596826
1993-02-05,1.633764
1993-02-12,1.617933
1993-02-22,1.583943
1993-03-01,1.60858
1993-03-08,1.654799
1993-03-15,1.642862
1993-03-22,1.633582
1993-03-29,1.64046
1993-04-05,1.609599
1993-04-13,1.634819
1993-04-20,1.619826
1993-04-27,1.594023
1993-05-04,1.616004
1993-05-11,1.617133
1993-05-18,1.60243
1993-05-25,1.633473
1993-06-02,1.651669
1993-06-09,1.6223
1993-06-16,1.628305
1993-06-23,1.612875
1993-06-30,1.639587
1993-07-08,1.632709
1993-07-15,1.634819
1993-07-22,1.617679
1993-07-29,1.638531
1993-08-05,1.630853
1993-08-12,1.633873
1993-08-19,1.661058
1993-08-26,1.677835
1993-09-02,1.678781
1993-09-10,1.68031
1993-09-17,1.669792
1993-09-24,1.665425
1993-10-01,1.678709
1993-10-08,1.675179
1993-10-15,1.708623
1993-10-22,1.685951
1993-10-29,1.702546
1993-11-05,1.679515
1993-11-12,1.686999
1993-11-19,1.670818
1993-11-29,1.669927
1993-12-06,1.678192
1993-12-13,1.676179
1993-12-20,1.676369
1993-12-28,1.688101
1994-01-04,1.675654
1994-01-11,1.681129
1994-01-18,1.674343
1994-01-25,1.670181
1994-02-01,1.685791
1994-02-08,1.674058
1994-02-15,1.675884
1994-02-23,1.673611
1994-03-02,1.666309
1994-03-09,1.669103
1994-03-16,1.672034
1994-03-23,1.670941
1994-03-30,1.660469
1994-04-07,1.660469
1994-04-14,1.660469
1994-04-21,1.660469
1994-04-29,1.660469
1994-05-06,1.660469
1994-05-13,1.660469
1994-05-20,1.660469
