,equity
1998-02-02,3.259091
1998-02-09,3.312831
1998-02-17,3.336361
1998-02-24,3.405461
1998-03-03,3.441558
1998-03-10,3.424118
1998-03-17,3.473976
1998-03-24,3.526816
1998-03-31,3.564897
1998-04-07,3.487232
1998-04-15,3.612377
1998-04-22,3.717748
1998-04-29,3.586912
1998-05-06,3.595337
1998-05-13,3.612328
1998-05-20,3.554716
1998-05-28,3.489117
1998-06-04,3.443066
1998-06-11,3.405359
1998-06-18,3.444727
1998-06-25,3.587314
1998-07-02,3.630356
1998-07-10,3.706556
1998-07-17,3.824253
1998-07-24,3.676195
1998-07-31,3.635434
1998-08-07,3.620229
1998-08-14,3.595212
1998-08-21,3.598492
1998-08-28,3.550143
1998-09-04,3.550143
1998-09-14,3.550143
1998-09-21,3.550143
1998-09-28,3.550143
1998-10-05,3.550143
1998-10-12,3.550143
1998-10-19,3.550143
1998-10-26,3.550143
1998-11-02,3.554077
1998-11-09,3.571978
1998-11-16,3.570444
1998-11-23,3.647785
1998-12-01,3.649202
1998-12-08,3.658418
1998-12-15,3.655769
1998-12-22,3.698707
1998-12-30,3.707709
1999-01-07,3.870968
1999-01-14,3.805214
1999-01-22,3.803243
1999-01-29,3.868503
1999-02-05,3.826965
1999-02-12,3.81072
1999-02-22,3.818536
1999-03-01,3.807993
1999-03-08,3.850879
1999-03-15,3.876694
1999-03-22,3.817841
1999-03-29,3.853735
1999-04-06,3.879787
1999-04-13,3.887317
1999-04-20,3.757167
1999-04-27,3.891953
1999-05-04,3.809943
1999-05-11,3.86697
1999-05-18,3.860228
1999-05-25,3.705721
1999-06-02,3.749752
1999-06-09,3.822159
1999-06-16,3.820967
1999-06-23,3.874641
1999-06-30,3.937871
1999-07-08,4.004043
1999-07-15,4.068718
1999-07-22,3.890412
1999-07-29,3.848182
1999-08-05,3.795213
1999-08-12,3.790181
1999-08-19,3.812334
1999-08-26,3.887888
1999-09-02,3.876289
1999-09-10,3.920187
1999-09-17,3.915178
1999-09-24,3.873768
1999-10-01,3.87477
1999-10-08,3.908452
1999-10-15,3.884792
1999-10-22,3.884792
1999-10-29,3.89702
1999-11-05,3.934658
1999-11-12,3.967587
1999-11-19,4.014577
1999-11-29,4.031331
1999-12-06,4.071396
1999-12-13,4.107449
1999-12-20,4.109923
1999-12-28,4.11031
2000-01-04,4.077979
2000-01-11,4.099745
2000-01-19,4.140397
2000-01-26,4.143868
2000-02-02,4.112377
2000-02-09,4.112377
2000-02-16,4.112377
2000-02-24,4.112377
2000-03-02,4.112377
2000-03-09,4.112377
2000-03-16,4.112377
2000-03-23,4.14132
2000-03-30,4.081582
2000-04-06,4.058028
2000-04-13,3.984917
2000-04-20,3.933169
2000-04-28,3.954619
2000-05-05,3.934738
2000-05-12,3.86545
2000-05-19,3.814337
2000-05-26,3.814337
2000-06-05,3.825079
2000-06-12,3.812151
2000-06-19,3.865428
2000-06-26,3.834461
2000-07-03,3.857452
2000-07-11,3.852281
2000-07-18,3.957757
2000-07-25,3.891612
2000-08-01,3.816958
2000-08-08,3.816958
2000-08-15,3.816958
2000-08-22,3.816958
2000-08-29,3.848229
2000-09-06,3.79286
2000-09-13,3.760872
2000-09-20,3.760872
2000-09-27,3.760872
2000-10-04,3.760872
2000-10-11,3.760872
2000-10-18,3.760872
2000-10-25,3.760872
2000-11-01,3.760872
2000-11-08,3.760872
2000-11-15,3.760872
2000-11-22,3.760872
2000-11-30,3.760872
