,0
2025-11-06,2247294.37
2025-11-07,2247294.37
2025-11-11,2247294.37
2025-11-13,2558869.22
2025-11-18,2558869.22
2025-11-19,2558869.22
2025-11-20,2557529.57
2025-11-21,2528729.95
2025-11-24,2589119.72
2025-11-25,2589119.72
2025-12-23,2581168.26
2025-12-29,2581168.26
2026-01-05,2555771.5
2026-01-07,2555771.5
2026-01-09,2555771.5
2026-01-20,2555771.5
2026-01-22,2555771.5
2026-01-26,2555771.5
2026-01-28,2549990.59
2026-02-03,2541389.43
2026-02-04,2545455.43
2026-02-05,2545455.43
2026-02-06,2545455.43
2026-02-09,2605471.86
2026-02-10,2605471.86
2026-02-26,2605471.86
2026-02-27,2605471.86
2026-03-02,2605471.86
2026-03-03,2600300.7
2026-03-04,2591887.08
2026-03-05,2586845.1
2026-03-09,2579258.55
2026-03-11,2579258.55
2026-03-12,2579258.55
2026-03-13,2579258.55
2026-03-16,2545129.64
2026-03-18,2544484.29
2026-03-19,2544484.29
2026-03-20,2517412.43
2026-03-23,2578892.61
2026-03-24,2556679.18
2026-04-01,2556679.18
2026-04-02,2556679.18
2026-04-03,2552322.84
2026-04-08,2552322.84
2026-04-13,2552322.84
2026-04-20,2540204.65
2026-04-21,2540204.65
2026-04-27,2540204.65
2026-04-28,2527656.77
2026-05-06,2527656.77
2026-05-12,2527656.77
2026-05-14,2527656.77
2026-05-18,2538440.29
2026-05-19,2538440.29
2026-05-25,2538440.29
2026-05-26,2530493.31
2026-05-27,2530493.31
2026-05-28,2530493.31
2026-05-29,2530493.31
2026-06-01,2497367.5
2026-06-02,2498047.18
2026-06-03,2485715.44
2026-06-05,2485715.44
2026-06-08,2450147.88
2026-06-09,2427861.18
2026-06-10,2421816.46
2026-06-16,2421816.46
2026-06-18,2421816.46
2026-06-22,2421816.46
2026-06-29,2406001.22
2026-07-01,2406001.22
2026-07-03,2488874.73
2026-07-06,2488874.73
2026-07-08,2484342.24
2026-07-09,2476154.04
2026-07-10,2476154.04
2026-07-17,2500889.2
2026-07-20,2500889.2
2026-07-27,2493076.02
2026-07-29,2493076.02
2026-08-10,2493076.02
2026-08-11,2493076.02
2026-08-14,2491063.64
2026-08-18,2490879.4
2026-08-20,2484744.91
2026-08-21,2470349.48
