,0
2022-04-25,1051105.64
2022-04-26,1050468.27
2022-05-05,1050468.27
2022-05-06,1050468.27
2022-05-09,1037562.52
2022-05-12,1037562.52
2022-05-13,1037562.52
2022-05-17,1032804.09
2022-05-23,1032804.09
2022-05-25,1028283.8
2022-05-27,1028283.8
2022-06-01,1028283.8
2022-06-02,1027177.53
2022-06-07,1027177.53
2022-06-10,1021666.1
2022-06-14,1015572.57
2022-06-16,1015572.57
2022-06-20,1006741.5
2022-06-24,1006741.5
2022-06-30,1006741.5
2022-07-07,994586.36
2022-07-18,1015876.96
2022-07-20,1015876.96
2022-07-22,1004415.78
2022-07-25,1021542.21
2022-07-26,1054540.04
2022-07-27,1057248.72
2022-07-29,1071874.65
2022-08-08,1112113.12
2022-08-15,1112113.12
2022-08-16,1109978.58
2022-09-07,1109978.58
2022-09-19,1096715.04
2022-10-20,1096715.04
2022-10-25,1091998.83
2022-11-03,1091998.83
2022-11-04,1091998.83
2022-11-07,1091998.83
2022-11-08,1091998.83
2022-11-09,1091998.83
2022-11-10,1088153.63
2022-11-11,1089201.9
2022-12-16,1097988.19
2022-12-19,1104851.78
2022-12-20,1106121.78
2022-12-21,1106121.78
2022-12-26,1109150.37
2022-12-27,1109150.37
2023-01-03,1100734.33
2023-01-06,1108051.74
2023-02-03,1108051.74
2023-02-07,1104546.37
2023-02-14,1108051.75
2023-03-07,1109242.52
2023-03-10,1109242.52
2023-03-14,1109242.52
2023-03-31,1107511.19
2023-04-04,1107511.19
2023-04-06,1107511.19
2023-04-11,1107511.19
2023-04-21,1104512.06
2023-04-28,1104512.06
2023-05-05,1105743.4500000002
2023-05-18,1105743.4500000002
2023-05-22,1110722.26
2023-05-24,1137486.48
2023-05-29,1158039.0499999998
2023-06-02,1154165.33
2023-06-14,1154165.33
2023-06-20,1154165.33
2023-06-26,1149882.4
2023-06-28,1149882.4
2023-07-04,1149882.4
2023-07-06,1147528.03
2023-07-10,1146190.51
2023-07-11,1146190.51
2023-07-14,1146190.51
2023-07-24,1146190.51
2023-07-25,1161848.62
2023-07-26,1161848.62
2023-07-27,1161848.62
2023-07-28,1160668.08
2023-08-01,1160668.08
2023-08-02,1153099.54
2023-08-07,1153099.54
2023-08-08,1155415.07
2023-08-11,1156367.59
2023-08-15,1156367.59
2023-08-17,1156367.59
2023-08-22,1144292.9
2023-08-23,1139154.33
2023-08-25,1139154.33
2023-08-28,1141625.31
2023-08-31,1150779.7999999998
2023-09-05,1150779.7999999998
2023-09-08,1148780.13
2023-09-20,1144728.7
2023-09-22,1144728.7
2023-10-09,1150189.38
2023-10-11,1142659.6099999999
2023-10-18,1142659.6099999999
2023-10-19,1138268.49
2023-10-30,1138268.49
2023-11-01,1135739.92
2023-11-03,1133848.27
2023-11-16,1133848.27
2023-11-21,1122787.6600000001
2023-11-23,1120589.56
2023-12-06,1117792.07
2023-12-11,1117792.07
2023-12-12,1117792.07
2023-12-13,1117548.01
2023-12-18,1117548.01
2023-12-22,1117548.01
2023-12-26,1117548.01
2023-12-27,1114113.3
2023-12-29,1108556.88
2024-01-03,1106445.5899999999
2024-01-04,1092959.06
2024-01-05,1100098.24
2024-01-09,1093280.28
2024-01-17,1092959.06
2024-01-23,1085212.47
2024-01-24,1083924.0499999998
2024-01-26,1083924.0499999998
2024-01-30,1079043.63
2024-02-02,1076939.2
2024-02-05,1076939.2
2024-02-06,1076939.2
2024-02-08,1076939.2
2024-02-19,1076939.2
2024-02-20,1052790.92
2024-02-21,1052790.92
2024-02-28,1052790.92
2024-03-05,1052790.92
2024-03-06,1052790.92
2024-03-07,1052790.92
2024-03-08,1051501.08
2024-03-12,1051501.08
2024-03-13,1051501.08
2024-03-15,1047397.25
2024-03-19,1047773.8300000001
2024-03-25,1044573.52
2024-03-26,1044394.3700000001
2024-03-28,1044394.3700000001
2024-04-02,1044394.3700000001
2024-04-03,1044394.3700000001
2024-04-15,1044394.3700000001
2024-04-19,1047055.1200000001
2024-04-24,1034373.5700000001
2024-04-30,1034373.5700000001
2024-05-10,1346986.51
2024-05-13,1346986.51
2024-05-14,1346511.48
2024-05-15,1336653.15
2024-05-28,1336653.15
2024-05-29,1335153.94
2024-05-30,1349991.56
2024-05-31,1376553.3599999999
2024-06-12,1433443.8
2024-06-13,1433443.8
2024-06-14,1433443.8
2024-06-17,1428936.76
2024-06-19,1418103.0299999998
2024-06-26,1416019.75
2024-07-01,1416019.75
2024-07-02,1416019.75
2024-07-03,1416019.75
2024-07-18,1390612.65
2024-07-19,1390612.65
2024-07-23,1390612.65
2024-07-24,1385989.76
2024-07-25,1385989.76
2024-07-26,1326991.4
2024-07-30,1323039.1800000002
2024-07-31,1311128.06
2024-08-01,1311128.06
2024-08-06,1305086.7200000002
2024-08-07,1305086.7200000002
2024-08-09,1301838.83
2024-08-15,1301172.48
2024-08-20,1301172.48
2024-08-23,1296787.03
2024-08-29,1296318.9500000002
2024-09-02,1282598.48
2024-09-09,1282598.48
2024-09-25,1282598.48
2024-09-26,1282598.48
2024-09-30,1282598.48
2024-11-04,1282598.48
2024-11-12,1280078.6600000001
2024-11-14,1318602.9100000001
2024-11-18,1315544.53
2024-11-19,1333648.28
2024-11-25,1369368.46
2024-11-29,1369368.46
2024-12-03,1367722.19
2024-12-04,1367722.19
2024-12-06,1377361.8199999998
2024-12-11,1377361.8199999998
2024-12-20,1374919.7
2024-12-24,1374919.7
2024-12-31,1374919.7
2025-01-02,1376497.99
2025-01-06,1365377.43
2025-01-08,1365377.43
2025-01-23,1359915.92
2025-02-06,1359915.92
2025-02-18,1359915.92
2025-02-20,1358014.86
2025-02-28,1347829.75
2025-03-03,1339984.08
2025-03-05,1335772.12
2025-03-07,1335772.12
2025-03-12,1335772.12
2025-03-31,1335772.12
2025-04-01,1335772.12
2025-04-08,1317961.82
2025-04-16,1317580.79
2025-04-17,1317580.79
2025-05-07,1312749.66
