module,symbol,signal_date,entry_date,entry_price,stop_price,exit_date,exit_reason,holding_bars,r_net,is_tail,src,r_at_5,r_at_10,r_at_15,peak_r_at_5,peak_r_at_10,peak_r_at_15,slope5_r_at_10
A,^IXIC,2019-08-19,2019-08-20,7989.35986328125,7828.35009765625,2019-08-21,exit_a6_1_costbasis,1,0.12248077622912483,False,ohlcv,-0.8423068525055497,-0.7154827322682776,0.5887859820226354,0.1916038914565062,0.1916038914565062,0.7916924439268775,0.1268241202372721
A,^IXIC,2020-01-28,2020-01-29,9318.259765625,9088.0400390625,2020-02-25,exit_a6_1_costbasis,18,-0.11457675878597683,False,ohlcv,0.6502916286665676,1.392933042058156,2.1671467051263016,0.6502916286665676,1.392933042058156,2.1671467051263016,0.7426414133915884
A,^IXIC,2020-01-30,2020-01-31,9324.330078125,9185.1796875,2020-02-03,structure_stop_C,1,-1.0271956909256799,False,ohlcv,1.7809530493367955,2.785760404238894,1.8128570425994808,1.7809530493367955,2.886300793038108,3.541848550775493,1.0048073549020984
A,^IXIC,2020-07-02,2020-07-06,10360.3798828125,10048.0400390625,2020-09-09,exit_a6_1_costbasis,46,2.2220011849823003,True,ohlcv,0.8230155454670519,0.4572280793906877,0.008963969034129991,0.8230155454670519,0.8230155454670519,1.3021392213509424,-0.36578746607636414
A,^IXIC,2020-11-12,2020-11-13,11794.9404296875,11638.900390625,2021-02-23,exit_a6_1_costbasis,67,9.330137253183958,True,ohlcv,0.7034702881997684,2.633357323903996,4.289219889226148,0.8279250242513377,2.633357323903996,4.289219889226148,1.9298870357042275
A,^IXIC,2021-02-02,2021-02-03,13718.3095703125,13132.4697265625,2021-02-23,exit_a6_1_costbasis,13,-0.8012727937989663,False,ohlcv,0.4939756626104351,0.42192532088681445,-0.205414235705951,0.4939756626104351,0.6437939656609435,0.6437939656609435,-0.0720503417236206
A,^IXIC,2021-04-23,2021-04-26,14052.3798828125,13771.0400390625,2021-05-05,structure_stop_C,7,-1.1918055239298535,False,ohlcv,-0.31883217860961083,-1.0668224039542924,-2.212268997403607,0.30710328645016177,0.30710328645016177,0.30710328645016177,-0.7479902253446815
A,^IXIC,2021-05-20,2021-05-21,13616.1904296875,13072.23046875,2021-05-24,exit_a6_1_costbasis,1,-0.13345956392556882,False,ohlcv,0.22076963816055223,0.3645485310090393,0.8332037736865255,0.22393113291383535,0.3645485310090393,0.8332037736865255,0.14377889284848702
A,^IXIC,2021-05-25,2021-05-26,13693.9404296875,13551.009765625,2021-08-19,exit_a6_1_costbasis,59,5.00610411926674,True,ohlcv,0.43650289353038035,1.5238827283224357,2.418929906190857,0.43650289353038035,1.6159564364823962,3.359665484657798,1.0873798347920554
A,^IXIC,2021-07-22,2021-07-23,14753.0595703125,14498.650390625,2021-08-19,exit_a6_1_costbasis,19,-1.3547171295318883,False,ohlcv,0.09905379728614475,0.5583939504443123,0.24841947680555823,0.34452526725908295,0.5583939504443123,0.5583939504443123,0.45934015315816745
A,^IXIC,2021-07-26,2021-07-27,14807.9501953125,14698.76953125,2021-07-28,structure_stop_C,1,-0.9809245087253226,False,ohlcv,-1.1621094623482795,0.4783767587051994,-0.12997200382823051,-0.2719385336446007,0.7984007298682481,0.7984007298682481,1.640486221053479
