symbol,group,module,variant,signal_date,signal_pos,reward_risk,trend_stage,rv_pct,mom_20,mom_121,ivol_60,fwd_20,fwd_60,vol_up,adx14,mkt_rv_pct_stock,year,regime,mkt_rv_pct_sector,regime_sector
300347.SZ,cn_stock,C,v3,2022-05-31,1392,0.41800110436223015,2,0.8333333333333334,0.0007708180157959266,-0.4506061516882076,0.4774207435872649,0.29718808877723935,0.14551314713654295,False,15.242858270270714,0.6772486772486772,2022,mid,0.701058201058201,mid
300347.SZ,cn_stock,C,v1,2022-08-25,1453,2.2243243243243236,0,0.6111111111111112,-0.04754131225477565,-0.34402636878776127,0.471507087485699,-0.13951949965420818,-0.10443916568942879,False,10.816440646627958,0.40343915343915343,2022,mid,0.6084656084656085,mid
300347.SZ,cn_stock,C,v1,2022-09-15,1467,3.3340659340659364,0,0.5158730158730159,-0.0954189368422057,-0.237209971527231,0.5011753781984252,-0.10231959578485461,-0.05200367084735402,True,11.865386867046546,0.1335978835978836,2022,mid,0.5621693121693122,mid
300347.SZ,cn_stock,C,v1,2022-12-01,1517,1.1447196870925684,3,0.1865079365079365,0.0014271442842872517,-0.37586125465355336,0.5219348885235486,0.13593361177798968,0.2321833788272436,False,12.048131118490941,0.376984126984127,2022,mid,0.22354497354497355,mid
300347.SZ,cn_stock,C,v3,2022-12-22,1532,0.6582661290322581,3,0.1746031746031746,0.03293145174658263,-0.36171014822612313,0.49471110503212795,0.30362358378534515,0.11960929058210557,False,9.068120215469287,0.0582010582010582,2022,low,0.08068783068783068,low
300347.SZ,cn_stock,C,v1,2023-02-28,1574,0.5408695652173912,1,0.1164021164021164,-0.007318922027341412,0.21756902189660177,0.4066005305005414,-0.05371672327987986,-0.27674645179977353,False,28.79628314572098,0.16666666666666666,2023,low,0.14682539682539683,low
300347.SZ,cn_stock,C,v1,2023-03-20,1588,5.706422018348605,0,0.09391534391534391,-0.14012837902048358,0.25712716840736904,0.41762164592435735,0.019491414735107737,-0.2804151470396159,True,19.700699559507772,0.015873015873015872,2023,low,0.02513227513227513,low
300347.SZ,cn_stock,C,v1,2023-04-26,1614,3.591760299625467,0,0.421957671957672,-0.15397315672797773,0.10616347854369534,0.4120737358624789,-0.09658922717654672,-0.2822576224358905,True,14.270580574496051,0.2804232804232804,2023,mid,0.2222222222222222,mid
300347.SZ,cn_stock,C,v1,2023-07-21,1671,1.3817204301075183,0,0.0026455026455026454,-0.034100926369836526,-0.4190215508866192,0.28322832305358125,-0.0068848469322403405,0.015370821058024786,False,31.765773644531496,0.0992063492063492,2023,low,0.06613756613756613,low
300347.SZ,cn_stock,C,v1,2023-08-09,1684,0.21439749608763517,2,0.39814814814814814,0.1059521109419046,-0.4001201361543082,0.3537442051235746,-0.09785251809099704,0.007763747692848488,True,21.68210862757947,0.1402116402116402,2023,low,0.1111111111111111,low
