,S0,S2_v1,S3
1990-06-30,1535314.4871793194,1417981.8756099273,1128171.4028842754
1990-07-31,1527295.296400944,1416244.7356953728,1130075.2413058267
1990-08-31,1383249.6855847992,1295916.1970209924,1023493.1161688641
1990-09-30,1312449.0097720637,1229585.625250816,971106.3308548285
1990-10-31,1303657.9476703175,1248332.6993637956,1005254.4463486199
1990-11-30,1381791.6627950957,1299254.353650874,1039752.8654577725
1990-12-31,1416098.4508916829,1313678.213183395,1039752.8654577725
1991-01-31,1474891.6723486064,1351461.1135433041,1039752.8654577725
1991-02-28,1574124.1197355904,1388771.4971737466,1039752.8654577725
1991-03-31,1609074.1339349865,1398839.2429761945,1039752.8654577725
1991-04-30,1609588.7148172336,1399114.852015094,1039752.8654577725
1991-05-31,1671726.8428787738,1430309.6556362521,1039752.8654577725
1991-06-30,1591663.4494455692,1402152.155633364,1039752.8654577725
1991-07-31,1663064.4259975895,1438910.7181260292,1039287.9563241751
1991-08-31,1695741.6207203872,1461279.4807326633,1039287.9563241751
1991-09-30,1663278.791075189,1451463.405009655,1039287.9563241751
1991-10-31,1682962.4259112154,1461986.0429538512,1039287.9563241751
1991-11-30,1609074.1339349865,1426488.3615753395,1038955.6989539842
1991-12-31,1788627.2651962985,1523840.4350029146,1055539.595710908
1992-01-31,1752991.0995305693,1513532.1658707361,1055539.595710908
1992-02-29,1769801.4832807018,1519561.543736091,1055539.595710908
1992-03-31,1731163.421308517,1503204.9337239983,1069076.1659593047
1992-04-30,1779450.267432867,1533016.151901472,1085720.21711064
1992-05-31,1781165.5806636943,1537871.8515287554,1085720.21711064
1992-06-30,1750246.624535248,1525319.2267821939,1098477.620278177
1992-07-31,1819160.2856630594,1565448.920988826,1113261.7755144152
1992-08-31,1775504.9292189549,1553300.8674842808,1113261.7755144152
1992-09-30,1791671.9559962677,1561931.7427772805,1113261.7755144152
1992-10-31,1795445.723626094,1568927.6783278608,1133296.6580965954
1992-11-30,1849779.1568568689,1587847.497347075,1133296.6580965954
1992-12-31,1868476.293551904,1596639.3442810401,1133296.6580965954
1993-01-31,1881641.5548927716,1601191.6759216874,1133296.6580965954
1993-02-28,1901367.9842223115,1613980.3870616811,1133296.6580965954
1993-03-31,1936918.4300310032,1624962.2017001077,1133296.6580965954
1993-04-30,1887688.1419991965,1606954.645458558,1133296.6580965954
1993-05-31,1930571.6271199307,1628855.220333682,1133296.6580965954
1993-06-30,1932029.6499096344,1633787.0643721144,1133296.6580965954
1993-07-31,1921737.6396546604,1628728.575767059,1133296.6580965954
1993-08-31,1987906.8257871505,1656017.0792975735,1133296.6580965954
1993-09-30,1968051.751237049,1649488.845942316,1133296.6580965954
1993-10-31,2006218.0268205001,1669805.22377883,1133296.6580965954
1993-11-30,1980316.4960339845,1662967.1517091542,1133296.6580965954
1993-12-31,2000300.215804648,1673066.4053341104,1133296.6580965954
1994-01-31,2065311.4640820713,1699562.3212060218,1133296.6580965954
1994-02-28,2003259.1867475794,1675579.704168952,1133296.6580965954
1994-03-31,1911617.0691137614,1618977.3686947697,1098238.345280327
1994-04-30,1933659.243283424,1644031.0613605734,1110901.7396795482
1994-05-31,1957631.095761513,1657873.5723964258,1115985.3353346153
1994-06-30,1905184.5463456514,1628774.1531468227,1108400.8749515666
