,S0,S2_v1,S3
2022-09-08,791318.7142697556,859858.8288677112,885083.6531562514
2022-09-09,802315.3492328225,869429.6367516846,897383.3014143099
2022-09-13,805709.7836929957,872295.0423753466,900729.3592356336
2022-09-14,796743.5379335891,866470.1096036795,900729.3592356336
2022-09-15,789249.128363322,861601.3570531101,900729.3592356336
2022-09-16,770740.4453137402,849577.1679611702,900729.3592356336
2022-09-19,769823.2424688435,848981.305985839,900729.3592356336
2022-09-20,770771.802675959,850027.4031143959,901839.2192403945
2022-09-21,765066.7225872959,843735.6908391292,895164.0075175458
2022-09-22,758326.8495454163,836302.7816963459,887278.0394258674
2022-09-23,755716.3491407103,833423.8532351108,884223.6313135917
2022-09-26,751926.0279825261,829243.7874362904,879788.7774929152
2022-09-27,762826.6310237984,841265.2589838802,892542.9951509311
2022-09-28,750364.0393770076,827521.1853464973,877961.1774437533
2022-09-29,750056.3452602366,827181.8521870275,877601.160871961
2022-09-30,745695.7120767001,822372.8312964508,872499.0151889181
2022-10-10,729242.8960875812,804228.2333744776,853248.4475443581
2022-10-11,730565.7848061821,805687.1498244278,854796.2894931465
2022-10-12,741662.3713613211,817924.7571423805,867779.8170695013
2022-10-13,735461.4529825752,811086.2213680954,860524.4512532549
2022-10-14,753060.772527815,830495.2135466922,881116.4819200981
2022-10-17,753832.9475724502,831263.6538030742,882019.9629983538
2022-10-18,752237.6417695744,829856.1776664703,880153.3802630742
2022-10-19,740137.6196234373,819180.7996967013,865995.7859048238
2022-10-20,735904.3757239141,815445.9735848288,861042.691668701
2022-10-21,733544.7342169577,813364.1538446924,858281.8002518994
2022-10-24,712080.6197782642,794423.5517972785,833167.777995411
2022-10-25,710920.3973761727,793388.0373218562,831810.263278844
2022-10-26,716692.1118595504,798539.3720011106,838563.4403739279
2022-10-27,711643.5765423413,794033.4846891379,832656.4168775149
2022-10-28,694042.2971619627,778324.1003922333,812062.0931114884
2022-10-31,687647.3551044886,772614.3472760394,804579.7104760865
2022-11-01,712237.4065893578,794717.1649765588,833351.2259300821
2022-11-02,720790.1271345054,802404.7952025145,843358.3107663966
2022-11-03,714928.2602347491,797135.844238758,836499.6511088768
2022-11-04,738303.2139336439,818146.468827432,863849.4450691706
