module,rr,exit_v,zone,n,exp_r,pf,e1,e2,e2020,e2022,passed
C·v1,2,b3_dual,关,150,-1.0906984798756172,0.2000762188331176,-1.7156105405895095,-0.29535585714884666,0.16020778098441643,0.09831768364029747,False
C·v1,2,b3_dual,低+中,62,-0.4136742638326488,0.46967190407465076,-0.8152983986111683,0.18072945563956033,0.16020778098441643,0.09831768364029747,False
C·v1,3,a6_1_costbasis,关,97,-1.4413742535993208,0.1810298711884137,-2.334812783399851,-0.31938168129167877,,0.35261738898341716,False
C·v1,3,a6_1_costbasis,低+中,43,-0.4403560263192241,0.5043956643161668,-0.9757045468238895,0.23587368379193224,,0.35261738898341716,False
C·v1,3,a6_2_top_plus_keywave,关,97,-1.2632762452254642,0.339088428349966,-1.8793536757171938,-0.4895976115846887,,-0.2573822338302107,False
C·v1,3,a6_2_top_plus_keywave,低+中,43,-0.4748487813025759,0.5838640319236947,-0.5713415112421746,-0.35296322769466176,,-0.2573822338302107,False
C·v1,3,a6_3_structure_stop,关,97,-2.7259682277726736,0.0015055357230275286,-3.5315061798357914,-1.7143624275073617,,-1.6280095600373203,False
C·v1,3,a6_3_structure_stop,低+中,43,-2.0043764425032906,0.0,-2.173729882417447,-1.7904563078748832,,-1.6280095600373203,False
C·v1,3,b3_dual,关,97,-1.3940769334795906,0.18778605914848576,-2.261142600596184,-0.30520377012386996,,0.35261738898341716,False
C·v1,3,b3_dual,低+中,43,-0.4235156581190974,0.5233488726195875,-0.9455322204653291,0.23587368379193224,,0.35261738898341716,False
C·v1,5,a6_1_costbasis,关,40,-2.394456284003538,0.15562649496360784,-3.495483079889802,-0.10770832331668229,,1.7575899010082998,False
C·v1,5,a6_1_costbasis,低+中,19,-0.0440057709282222,0.9546451389822272,-0.8799303116947776,1.7671640673993145,,1.7575899010082998,False
C·v1,5,a6_2_top_plus_keywave,关,40,-2.0916737343373213,0.2859046463412632,-3.0650732836388217,-0.06999774732651304,,0.8143035272051662,False
C·v1,5,a6_2_top_plus_keywave,低+中,19,0.5380611910330596,1.5726370523766946,0.22478522086455804,1.216825793064813,,0.8143035272051662,False
C·v1,5,a6_3_structure_stop,关,40,-4.116613259141138,0.0,-4.8430093548934465,-2.607944444886342,,-1.5842942936572757,False
