,S0_bh,S1_dca,v1_hedge0
2007-11-30,3596811.4973623254,4023509.0335070477,3786887.5620352365
2007-12-31,4053011.4560708865,4533828.981131631,4267195.490479351
2008-01-31,3507975.5510237636,3924134.2864969606,3693357.063965846
2008-02-29,3549087.430298395,3970123.3570299135,3736641.5032340903
2008-03-31,2877907.472841017,3219319.8679065565,3029992.722925374
2008-04-30,3005906.339210309,3362503.5169504895,3164755.7673481237
2008-05-31,2741852.3514904114,3067124.232908586,2886747.6858200063
2008-06-30,2119649.9600107465,2371108.6244665016,2231664.602384728
2008-07-31,2129816.8915397977,2382481.681097405,2242368.8126139264
2008-08-31,1815819.5894361709,2031234.1991436633,1911778.0918565297
2008-09-30,1703465.5435498618,1905551.3495124993,1793486.6099753703
2008-10-31,1263110.8436727016,1412956.4180843872,1329861.0271947337
2008-11-30,1389344.4859508101,1554165.430680941,1462765.5834173344
2008-12-31,1380080.2862258097,1543802.1988826976,1453011.809930421
2009-01-31,1543285.6929530762,1726369.0164003521,1624841.931938855
2009-02-28,1625136.6665437275,1817930.1482208106,1711018.3832012443
2009-03-31,1904004.1111423734,2129880.241606717,2004622.7924573747
2009-04-30,1991420.2858463055,2227666.7863989114,2096658.5421674836
2009-05-31,2095273.164356707,2343839.9567606994,2205999.6059423517
2009-06-30,2404101.5866268794,2689305.363474116,2531148.3037856463
2009-07-31,2835460.0971464314,3171836.8681215867,2985302.286660821
2009-08-31,2148844.1091523394,2403766.1387351514,2262401.5431301063
2009-09-30,2281356.634541885,2551998.9119423814,2401916.7983182296
2009-10-31,2490577.0677183485,2786039.618133708,2622193.654270487
2009-11-30,2666186.1157263336,2982481.547754944,2807082.9042575657
2009-12-31,2714788.619036931,3036849.8712727735,2858253.8461112124
2010-01-31,2432710.3646827512,2721308.062817635,2561268.9385748007
2010-02-28,2491559.5193200656,2787138.620096249,2623228.0243206103
2010-03-31,2540105.839154212,2841444.094970162,2674339.813636614
2010-04-30,2328854.4492276767,2605131.4952318515,2451924.67338445
2010-05-31,2105562.3329088464,2355349.751657421,2216832.5040905415
2010-06-30,1945975.445759465,2176830.726530393,2048812.1178878564
2010-07-31,2178131.6443426274,2436528.117641662,2293236.800741258
2010-08-31,2204205.3328327085,2465694.9842549446,2320688.3746337527
2010-09-30,2228793.95537769,2493200.608334433,2346576.403056161
2010-10-31,2566205.3416740135,2870639.8379874066,2701818.5701399003
2010-11-30,2381712.4712613216,2664260.178873362,2507576.023033486
2010-12-31,2375088.8949294984,2656850.8333391976,2500602.418484597
2011-01-31,2335796.145513997,2612896.6999795437,2459233.211512724
2011-02-28,2459590.361983515,2751376.8924017204,2589569.43484221
2011-03-31,2447236.8302899003,2737557.834494064,2576563.070638408
2011-04-30,2424030.776807304,2711598.796638523,2552130.6742344256
