,S0_bh,S1_dca,v1_hedge50
2005-07-31,782233.5982397408,983979.1940283339,1192365.0155576267
2005-08-31,770375.1882177375,969062.3855939148,1174770.0196352934
2005-09-30,779861.6507188267,980995.4983456647,1188845.6224112406
2005-10-31,768201.404521425,966327.9620990626,1171544.6534013983
2005-11-30,815040.0221026064,1025246.7112817169,1241041.7684294195
2005-12-31,800563.088224119,1007036.0364119452,1219561.5200582438
2006-01-31,832062.8168183734,1046659.8490735773,1266299.4550041694
2006-02-28,814233.1174179729,1024231.6980899671,1239844.5181564493
2006-03-31,831258.7443098844,1045648.3985035381,1265106.4069916725
2006-04-30,829672.7256690343,1043653.3303455743,1262753.1411266264
2006-05-31,769603.0661963772,968091.125850049,1173624.378373761
2006-06-30,769129.5617472394,967495.5000327997,1172921.8129508817
2006-07-31,735999.7830236404,925821.231578796,1123765.2801216142
2006-08-31,771112.8815978427,969990.3372176107,1175864.5771679475
2006-09-30,806889.8157086351,1014994.4879858231,1228948.8446730296
2006-10-31,845199.3348310306,1063184.4018868557,1285790.8522857176
2006-11-30,874180.1967668813,1099639.7078645786,1328791.4018232047
2006-12-31,857756.3188001451,1078979.953232592,1304422.3620179172
2007-01-31,875841.0025590438,1101728.8515020893,1331255.6336288739
2007-02-28,861134.4854018531,1083229.381609898,1309434.7395180818
2007-03-31,865654.4615172668,1088915.1031962382,1316141.2845921838
2007-04-30,913978.1129586505,1149701.890806486,1387841.82863525
2007-05-31,942813.3833395793,1185974.0557618956,1430626.3557202818
2007-06-30,947331.9433669209,1191657.9960373805,1437330.7996641472
2007-07-31,945939.0437369155,1189905.8541473115,1435264.0754351239
2007-08-31,972607.8763784063,1223452.8361579312,1474834.1358993633
2007-09-30,1023690.9524394565,1287710.7306336365,1550299.5096357192
2007-10-31,1095772.6674899494,1378383.0157913836,1645371.4970105765
2007-11-30,1021699.4015769336,1285205.5395794788,1535464.7886681352
2007-12-31,1020970.2047252615,1284288.275820915,1534382.837916901
2008-01-31,899578.2673745928,1131588.186046401,1354084.4163167437
2008-02-29,856123.9232749308,1076926.5471441164,1288862.7773117821
2008-03-31,872153.0666915447,1097089.761375181,1313270.7250559912
