,S0_bh,S1_dca,v1_hedge0,v1_hedge50,v1_hedge100,v3_hedge50
1996-01-31,2700977.9350717217,2084180.8772145149,2196625.3433604767,2192517.611422644,2188409.879484812,2313526.618035136
1996-02-29,2719705.7106005745,2098631.9658825025,2211801.918878868,2208174.30380885,2204546.6887388313,2329191.8544714283
1996-03-31,2741236.444685736,2115245.927688708,2229249.950082918,2225622.3350128997,2221994.7199428813,2346649.407281246
1996-04-30,2778055.148214974,2143656.688407281,2259087.0139530962,2255459.398883078,2251831.7838130593,2376502.7536050784
1996-05-31,2841543.1703844713,2192646.545014282,2310536.3044192404,2306908.689349222,2303281.0742792035,2427980.120583416
1996-06-30,2847955.7091937084,2197594.7123380755,2315732.8841920528,2312105.2691220343,2308477.654052016,2433179.536193886
1996-07-31,2717667.383793952,2097059.1126959908,2210220.1017046766,2206592.486634658,2202964.8715646397,2327539.138046176
1996-08-31,2768797.401705292,2136513.046842854,2251729.5474258135,2248101.932355795,2244474.3172857766,2368996.3862906424
1996-09-30,2918875.4335757545,2252319.1628621262,2373569.0493924315,2369941.434322413,2366313.8192523946,2490682.676995319
1996-10-31,2995061.008339711,2311106.950789175,2435419.623860872,2431792.0087908534,2428164.393720835,2552455.4753368613
1996-11-30,3214827.059482216,2480687.085193344,2613834.718239805,2610207.1031697867,2606579.4880997683,2730646.215534121
1996-12-31,3145690.8710559644,2427338.8812074913,2557707.1247423417,2554079.5096723232,2550451.894602305,2674589.201604783
1997-01-31,3338575.32104872,2576176.114184097,2714298.6327153863,2710671.017645368,2707043.4025753494,2830983.7982136263
1997-02-28,3358365.027519426,2591446.6305612843,2730364.728135251,2726737.1130652325,2723109.497995214,2847029.6907705935
1997-03-31,3215251.6245011943,2481014.696271613,2614179.397536436,2610551.7824664176,2606924.167396399,2730990.4614019445
1997-04-30,3403040.2574773934,2625919.7962819384,2766633.9122422305,2763006.297172212,2759378.6821021936,2883253.2669476573
1997-05-31,3602379.754620725,2779737.9976915168,2928465.8922563535,2924838.277186335,2921210.6621163166,3044881.7457862147
1997-06-30,3758912.57444456,2900524.8821369978,3055545.655837129,3051918.0407671104,3048290.425697092,3171801.7085582935
1997-07-31,4052655.8401790443,3127188.7468449855,3294018.4873174136,3290390.872247395,3286763.2571773767,3409974.664194864
1997-08-31,3819767.412225899,2947482.870035737,3104950.1092080087,3101322.4941379903,3097694.879067972,3221144.036604264
1997-09-30,4022801.7655020384,3104152.1678560134,3269781.7249812693,3266154.109911251,3262526.4948412324,3385768.3792070593
1997-10-31,3884104.823630557,2997128.1488060392,3157181.8586897114,3153554.243619693,3149926.6285496745,3273310.1054805606
1997-11-30,4057284.8430324867,3130760.6676305807,3297776.501699907,3294148.8866298883,3290521.27155987,3413727.9529332384
1997-12-31,4121112.413538286,3180012.5330974916,3349594.341427963,3345966.726357945,3342339.1112879263,3465480.6325409096
1998-01-31,4162942.4357958096,3212290.224577512,3383553.669222908,3379926.0541528896,3376298.439082871,3499397.2570140073
